code,city_clean,state,label
OTZ,Kotzebue,Alaska,Kotzebue (OTZ)
LFT,Lafayette,Louisiana,Lafayette (LFT)
LCH,Lake Charles,Louisiana,Lake Charles (LCH)
LAN,Lansing,Michigan,Lansing (LAN)
LAR,Laramie,Wyoming,Laramie (LAR)
LRD,Laredo,Texas,Laredo (LRD)
LAS,Las Vegas,Nevada,Las Vegas (LAS)
LBE,Latrobe,Pennsylvania,Latrobe (LBE)
LAW,Lawton/Fort Sill,Oklahoma,Lawton/Fort Sill (LAW)
LWS,Lewiston,Idaho,Lewiston (LWS)
LEX,Lexington,Kentucky,Lexington (LEX)
LBL,Liberal,Kansas,Liberal (LBL)
LIH,Lihue,Hawaii,Lihue (LIH)
LNK,Lincoln,Nebraska,Lincoln (LNK)
LIT,Little Rock,Arkansas,Little Rock (LIT)
LGB,Long Beach,California,Long Beach (LGB)
GGG,Longview,Texas,Longview (GGG)
LAX,Los Angeles,California,Los Angeles (LAX)
SDF,Louisville,Kentucky,Louisville (SDF)
LBB,Lubbock,Texas,Lubbock (LBB)
MSN,Madison,Wisconsin,Madison (MSN)
MHT,Manchester,New Hampshire,Manchester (MHT)
MHK,Manhattan/Ft. Riley,Kansas,Manhattan/Ft. Riley (MHK)
MQT,Marquette,Michigan,Marquette (MQT)
MCW,Mason City,Iowa,Mason City (MCW)
MFR,Medford,Oregon,Medford (MFR)
MLB,Melbourne,Florida,Melbourne (MLB)
MEM,Memphis,Tennessee,Memphis (MEM)
MEI,Meridian,Mississippi,Meridian (MEI)
MIA,Miami,Florida,Miami (MIA)
MAF,Midland/Odessa,Texas,Midland/Odessa (MAF)
MKE,Milwaukee,Wisconsin,Milwaukee (MKE)
MSP,Minneapolis,Minnesota,Minneapolis (MSP)
MOT,Minot,North Dakota,Minot (MOT)
MFE,Mission/McAllen/Edinburg,Texas,Mission/McAllen/Edinburg (MFE)
MSO,Missoula,Montana,Missoula (MSO)
CNY,Moab,Utah,Moab (CNY)
MOB,Mobile,Alabama,Mobile (MOB)
MLI,Moline,Illinois,Moline (MLI)
MLU,Monroe,Louisiana,Monroe (MLU)
MRY,Monterey,California,Monterey (MRY)
MGM,Montgomery,Alabama,Montgomery (MGM)
MTJ,Montrose/Delta,Colorado,Montrose/Delta (MTJ)
CWA,Mosinee,Wisconsin,Mosinee (CWA)
MYR,Myrtle Beach,South Carolina,Myrtle Beach (MYR)
BNA,Nashville,Tennessee,Nashville (BNA)
MSY,New Orleans,Louisiana,New Orleans (MSY)
LGA,New York,New York,New York (LGA)
JFK,New York,New York,New York (JFK)
EWR,Newark,New Jersey,Newark (EWR)
SWF,Newburgh/Poughkeepsie,New York,Newburgh/Poughkeepsie (SWF)
IAG,Niagara Falls,New York,Niagara Falls (IAG)
OME,Nome,Alaska,Nome (OME)
ORF,Norfolk,Virginia,Norfolk (ORF)
OTH,North Bend/Coos Bay,Oregon,North Bend/Coos Bay (OTH)
LBF,North Platte,Nebraska,North Platte (LBF)
OAK,Oakland,California,Oakland (OAK)
OKC,Oklahoma City,Oklahoma,Oklahoma City (OKC)
OMA,Omaha,Nebraska,Omaha (OMA)
ONT,Ontario,California,Ontario (ONT)
MCO,Orlando,Florida,Orlando (MCO)
PPG,Pago Pago,U.S. Pacific Trust Territories and Possessions,Pago Pago (PPG)
PSP,Palm Springs,California,Palm Springs (PSP)
ECP,Panama City,Florida,Panama City (ECP)
PSC,Pasco/Kennewick/Richland,Washington,Pasco/Kennewick/Richland (PSC)
PLN,Pellston,Michigan,Pellston (PLN)
PNS,Pensacola,Florida,Pensacola (PNS)
PIA,Peoria,Illinois,Peoria (PIA)
PSG,Petersburg,Alaska,Petersburg (PSG)
PHL,Philadelphia,Pennsylvania,Philadelphia (PHL)
PHX,Phoenix,Arizona,Phoenix (PHX)
AZA,Phoenix,Arizona,Phoenix (AZA)
PIT,Pittsburgh,Pennsylvania,Pittsburgh (PIT)
PBG,Plattsburgh,New York,Plattsburgh (PBG)
PIH,Pocatello,Idaho,Pocatello (PIH)
PSE,Ponce,Puerto Rico,Ponce (PSE)
PDX,Portland,Oregon,Portland (PDX)
PWM,Portland,Maine,Portland (PWM)
PSM,Portsmouth,New Hampshire,Portsmouth (PSM)
PRC,Prescott,Arizona,Prescott (PRC)
PVD,Providence,Rhode Island,Providence (PVD)
PVU,Provo,Utah,Provo (PVU)
PGD,Punta Gorda,Florida,Punta Gorda (PGD)
RDU,Raleigh/Durham,North Carolina,Raleigh/Durham (RDU)
RAP,Rapid City,South Dakota,Rapid City (RAP)
RDD,Redding,California,Redding (RDD)
RNO,Reno,Nevada,Reno (RNO)
RHI,Rhinelander,Wisconsin,Rhinelander (RHI)
RIC,Richmond,Virginia,Richmond (RIC)
RIW,Riverton/Lander,Wyoming,Riverton/Lander (RIW)
ROA,Roanoke,Virginia,Roanoke (ROA)
ROC,Rochester,New York,Rochester (ROC)
RST,Rochester,Minnesota,Rochester (RST)
RKS,Rock Springs,Wyoming,Rock Springs (RKS)
RFD,Rockford,Illinois,Rockford (RFD)
ROW,Roswell,New Mexico,Roswell (ROW)
SMF,Sacramento,California,Sacramento (SMF)
MBS,Saginaw/Bay City/Midland,Michigan,Saginaw/Bay City/Midland (MBS)
SPN,Saipan,U.S. Pacific Trust Territories and Possessions,Saipan (SPN)
SLN,Salina,Kansas,Salina (SLN)
SLC,Salt Lake City,Utah,Salt Lake City (SLC)
SJT,San Angelo,Texas,San Angelo (SJT)
SAT,San Antonio,Texas,San Antonio (SAT)
SAN,San Diego,California,San Diego (SAN)
SFO,San Francisco,California,San Francisco (SFO)
SJC,San Jose,California,San Jose (SJC)
SJU,San Juan,Puerto Rico,San Juan (SJU)
SBP,San Luis Obispo,California,San Luis Obispo (SBP)
SFB,Sanford,Florida,Sanford (SFB)
SNA,Santa Ana,California,Santa Ana (SNA)
SBA,Santa Barbara,California,Santa Barbara (SBA)
SAF,Santa Fe,New Mexico,Santa Fe (SAF)
SMX,Santa Maria,California,Santa Maria (SMX)
STS,Santa Rosa,California,Santa Rosa (STS)
SRQ,Sarasota/Bradenton,Florida,Sarasota/Bradenton (SRQ)
CIU,Sault Ste. Marie,Michigan,Sault Ste. Marie (CIU)
SAV,Savannah,Georgia,Savannah (SAV)
BFF,Scottsbluff,Nebraska,Scottsbluff (BFF)
AVP,Scranton/Wilkes-Barre,Pennsylvania,Scranton/Wilkes-Barre (AVP)
SEA,Seattle,Washington,Seattle (SEA)
SHR,Sheridan,Wyoming,Sheridan (SHR)
SHV,Shreveport,Louisiana,Shreveport (SHV)
SUX,Sioux City,Iowa,Sioux City (SUX)
FSD,Sioux Falls,South Dakota,Sioux Falls (FSD)
SIT,Sitka,Alaska,Sitka (SIT)
SBN,South Bend,Indiana,South Bend (SBN)
GEG,Spokane,Washington,Spokane (GEG)
SGF,Springfield,Missouri,Springfield (SGF)
SPI,Springfield,Illinois,Springfield (SPI)
STC,St. Cloud,Minnesota,St. Cloud (STC)
SGU,St. George,Utah,St. George (SGU)
STL,St. Louis,Missouri,St. Louis (STL)
PIE,St. Petersburg,Florida,St. Petersburg (PIE)
SCE,State College,Pennsylvania,State College (SCE)
SWO,Stillwater,Oklahoma,Stillwater (SWO)
SCK,Stockton,California,Stockton (SCK)
SUN,Sun Valley/Hailey/Ketchum,Idaho,Sun Valley/Hailey/Ketchum (SUN)
SYR,Syracuse,New York,Syracuse (SYR)
TLH,Tallahassee,Florida,Tallahassee (TLH)
TPA,Tampa,Florida,Tampa (TPA)
TXK,Texarkana,Arkansas,Texarkana (TXK)
TOL,Toledo,Ohio,Toledo (TOL)
TVC,Traverse City,Michigan,Traverse City (TVC)
TTN,Trenton,New Jersey,Trenton (TTN)
TUS,Tucson,Arizona,Tucson (TUS)
TUL,Tulsa,Oklahoma,Tulsa (TUL)
TWF,Twin Falls,Idaho,Twin Falls (TWF)
TYR,Tyler,Texas,Tyler (TYR)
VLD,Valdosta,Georgia,Valdosta (VLD)
VPS,Valparaiso,Florida,Valparaiso (VPS)
VEL,Vernal,Utah,Vernal (VEL)
VCT,Victoria,Texas,Victoria (VCT)
ACT,Waco,Texas,Waco (ACT)
ALW,Walla Walla,Washington,Walla Walla (ALW)
IAD,Washington,Virginia,Washington (IAD)
DCA,Washington,Virginia,Washington (DCA)
PBI,West Palm Beach/Palm Beach,Florida,West Palm Beach/Palm Beach (PBI)
HPN,White Plains,New York,White Plains (HPN)
ICT,Wichita,Kansas,Wichita (ICT)
SPS,Wichita Falls,Texas,Wichita Falls (SPS)
XWA,Williston,North Dakota,Williston (XWA)
ILM,Wilmington,North Carolina,Wilmington (ILM)
ORH,Worcester,Massachusetts,Worcester (ORH)
WRG,Wrangell,Alaska,Wrangell (WRG)
YAK,Yakutat,Alaska,Yakutat (YAK)
YUM,Yuma,Arizona,Yuma (YUM)
