origin,dest,op_unique_carrier,month,time_bucket,total_flights,delayed_flights,avg_delay_min,weather_delayed,cancelled,origin_city,dest_city,delay_rate,weather_delay_rate
ANC,SEA,AS,1,morning,28,3,42.0,2,1,"Anchorage, AK","Seattle, WA",0.1071,0.0714
ANC,SEA,AS,1,red_eye,33,6,52.0,1,1,"Anchorage, AK","Seattle, WA",0.1818,0.0303
ANC,SEA,DL,1,afternoon,6,2,48.0,0,0,"Anchorage, AK","Seattle, WA",0.3333,0.0
ANC,SEA,DL,1,morning,6,0,0.0,0,0,"Anchorage, AK","Seattle, WA",0.0,0.0
ANC,SEA,DL,1,red_eye,6,0,0.0,0,0,"Anchorage, AK","Seattle, WA",0.0,0.0
APN,DTW,OO,1,afternoon,3,0,0.0,0,0,"Alpena, MI","Detroit, MI",0.0,0.0
APN,DTW,OO,1,evening,1,0,0.0,0,0,"Alpena, MI","Detroit, MI",0.0,0.0
APN,DTW,OO,1,morning,3,0,0.0,0,0,"Alpena, MI","Detroit, MI",0.0,0.0
ASE,ATL,OO,1,afternoon,10,1,20.0,1,0,"Aspen, CO","Atlanta, GA",0.1,0.1
ASE,AUS,OO,1,afternoon,5,5,38.4,1,0,"Aspen, CO","Austin, TX",1.0,0.2
ASE,DEN,OO,1,afternoon,20,14,73.9,0,0,"Aspen, CO","Denver, CO",0.7,0.0
ASE,DEN,OO,1,evening,5,0,0.0,0,0,"Aspen, CO","Denver, CO",0.0,0.0
ASE,DEN,OO,1,morning,19,3,47.7,1,0,"Aspen, CO","Denver, CO",0.1579,0.0526
ASE,DFW,OO,1,afternoon,15,6,53.5,2,0,"Aspen, CO","Dallas/Fort Worth, TX",0.4,0.1333
ASE,DFW,OO,1,morning,10,3,115.0,1,0,"Aspen, CO","Dallas/Fort Worth, TX",0.3,0.1
ASE,IAH,OO,1,afternoon,10,7,99.1,0,0,"Aspen, CO","Houston, TX",0.7,0.0
ASE,IAH,OO,1,morning,10,2,88.5,0,0,"Aspen, CO","Houston, TX",0.2,0.0
ASE,LAX,OO,1,afternoon,15,11,73.9,3,0,"Aspen, CO","Los Angeles, CA",0.7333,0.2
ASE,LAX,OO,1,evening,10,3,52.7,1,0,"Aspen, CO","Los Angeles, CA",0.3,0.1
ASE,LAX,OO,1,morning,5,1,25.0,0,0,"Aspen, CO","Los Angeles, CA",0.2,0.0
ASE,ORD,OO,1,afternoon,15,9,54.0,0,0,"Aspen, CO","Chicago, IL",0.6,0.0
ASE,ORD,OO,1,morning,10,4,27.8,1,0,"Aspen, CO","Chicago, IL",0.4,0.1
ASE,PHX,OO,1,morning,5,3,51.3,0,0,"Aspen, CO","Phoenix, AZ",0.6,0.0
ASE,SFO,OO,1,evening,5,1,31.0,1,0,"Aspen, CO","San Francisco, CA",0.2,0.2
ASE,SFO,OO,1,morning,5,1,22.0,0,0,"Aspen, CO","San Francisco, CA",0.2,0.0
ATL,ABE,9E,1,evening,1,0,0.0,0,0,"Atlanta, GA","Allentown/Bethlehem/Easton, PA",0.0,0.0
ATL,ABE,9E,1,morning,6,2,45.5,0,0,"Atlanta, GA","Allentown/Bethlehem/Easton, PA",0.3333,0.0
ATL,ABE,9E,1,night,5,0,0.0,0,0,"Atlanta, GA","Allentown/Bethlehem/Easton, PA",0.0,0.0
ATL,ABQ,DL,1,afternoon,1,0,0.0,0,0,"Atlanta, GA","Albuquerque, NM",0.0,0.0
ATL,ABQ,DL,1,morning,6,0,0.0,0,0,"Atlanta, GA","Albuquerque, NM",0.0,0.0
ATL,ABQ,DL,1,night,6,1,21.0,0,0,"Atlanta, GA","Albuquerque, NM",0.1667,0.0
ATL,ABY,OO,1,afternoon,5,0,0.0,0,0,"Atlanta, GA","Albany, GA",0.0,0.0
