op_unique_carrier,origin,dest,dep_hour,flights
NK,ORD,LAX,17,5
NK,ORD,LAX,22,5
NK,ORD,LGA,16,6
NK,ORD,MCO,5,6
NK,ORD,MCO,18,5
NK,ORD,MIA,13,6
NK,ORD,MIA,16,6
NK,ORD,PHX,22,6
NK,ORD,RSW,9,6
NK,ORD,RSW,10,4
NK,ORD,SJU,7,6
NK,ORD,TPA,9,5
NK,ORD,TPA,20,5
NK,ORF,FLL,10,6
NK,ORF,MCO,11,6
NK,ORF,RSW,7,2
NK,ORF,TPA,6,4
NK,PBI,ACY,10,6
NK,PBI,LGA,18,6
NK,PDX,LAS,6,5
NK,PDX,LAS,12,6
NK,PDX,LAS,17,5
NK,PDX,LAS,19,5
NK,PHL,ATL,11,4
NK,PHL,ATL,12,2
NK,PHL,BNA,12,3
NK,PHL,BNA,19,2
NK,PHL,DTW,17,3
NK,PHL,DTW,19,3
NK,PHL,FLL,5,6
NK,PHL,FLL,19,5
NK,PHL,FLL,22,5
NK,PHL,IAH,18,3
NK,PHL,IAH,19,2
NK,PHL,LAS,17,3
NK,PHL,LAX,7,4
NK,PHL,MCO,6,6
NK,PHL,MCO,14,6
NK,PHL,MCO,17,2
NK,PHL,MCO,19,3
NK,PHL,MIA,7,6
NK,PHL,RSW,14,2
NK,PHL,SJU,21,6
NK,PHL,TPA,12,4
NK,PHL,TPA,17,2
NK,PHX,DFW,5,6
NK,PHX,EWR,10,6
NK,PHX,EWR,23,6
NK,PHX,FLL,13,6
NK,PHX,LAS,9,2
NK,PHX,LAS,12,4
NK,PHX,LAS,14,2
NK,PHX,ORD,13,5
NK,PIT,EWR,14,3
NK,PIT,FLL,6,6
NK,PIT,FLL,15,2
NK,PIT,FLL,21,2
NK,PIT,LAS,19,3
NK,PIT,LAS,22,2
NK,PIT,LAX,19,4
NK,PIT,MCO,6,6
NK,PIT,MCO,7,2
NK,PIT,MCO,17,4
NK,PIT,MCO,21,2
NK,PIT,MIA,21,5
NK,PIT,RSW,7,2
NK,PIT,TPA,9,6
NK,PNS,FLL,9,2
NK,PNS,FLL,10,3
NK,PNS,MCO,11,2
NK,PNS,MCO,15,2
NK,RDU,FLL,18,6
NK,RIC,FLL,12,6
NK,RIC,LAS,7,5
NK,RIC,MCO,20,6
NK,RIC,RSW,21,2
NK,RIC,TPA,19,4
NK,RNO,LAS,13,2
NK,RNO,LAS,14,2
NK,RNO,LAS,15,3
NK,RNO,LAS,16,2
NK,ROC,MCO,10,2
NK,ROC,MCO,16,2
NK,RSW,ACY,9,5
NK,RSW,ATL,18,2
NK,RSW,ATL,21,2
NK,RSW,BNA,8,6
NK,RSW,BOS,17,6
NK,RSW,CHS,22,2
NK,RSW,CMH,15,2
NK,RSW,DTW,13,6
NK,RSW,DTW,16,6
NK,RSW,IND,14,6
NK,RSW,ORD,7,5
NK,RSW,ORD,21,6
NK,RSW,ORF,20,2
NK,RSW,PHL,10,2
NK,RSW,PIT,11,2
NK,RSW,RIC,18,2
NK,RSW,SJU,16,4
NK,SAN,LAS,6,5
NK,SAN,LAS,13,2
NK,SAN,LAS,14,3
NK,SAN,LAS,17,4
NK,SAN,LAS,19,3
NK,SAN,LAS,20,3
NK,SAN,LAS,22,2
NK,SAN,OAK,15,3
NK,SAN,SJC,12,4
NK,SAT,FLL,5,5
NK,SAT,LAS,14,6
NK,SAT,LAS,20,6
NK,SAT,LAX,17,2
NK,SAT,LAX,18,2
NK,SAT,LAX,22,2
NK,SAT,MCO,12,2
NK,SAT,MCO,18,2
NK,SAT,MCO,19,2
NK,SDF,FLL,11,6
NK,SDF,LAS,6,6
NK,SDF,LAX,16,3
NK,SDF,LAX,18,2
NK,SDF,MCO,7,6
NK,SEA,LAS,10,6
NK,SEA,LAS,21,3
NK,SEA,LAS,22,2
NK,SJC,DFW,11,2
NK,SJC,DFW,12,3
NK,SJC,LAS,7,6
NK,SJC,LAS,21,5
NK,SJC,SAN,15,4
NK,SJU,ATL,17,3
NK,SJU,ATL,21,2
NK,SJU,BDL,18,2
NK,SJU,BOS,6,6
NK,SJU,BWI,7,5
NK,SJU,DFW,14,4
NK,SJU,DFW,16,2
NK,SJU,EWR,7,5
NK,SJU,EWR,22,6
NK,SJU,FLL,21,6
NK,SJU,MCO,4,6
NK,SJU,MCO,5,6
NK,SJU,MCO,15,3
NK,SJU,MCO,18,3
NK,SJU,MCO,22,3
NK,SJU,MIA,13,6
NK,SJU,ORD,15,6
NK,SJU,PHL,3,5
NK,SJU,RSW,20,4
NK,SJU,TPA,2,3
NK,SLC,LAS,12,2
NK,SLC,LAS,15,4
NK,SLC,LAX,6,2
NK,SLC,LAX,11,5
NK,SLC,LAX,18,4
NK,SLC,MCO,6,4
NK,SLC,MCO,13,2
NK,SMF,LAS,11,6
NK,SMF,LAS,15,2
NK,SMF,LAS,16,2
NK,SMF,LAS,18,4
NK,SMF,LAS,19,2
NK,SMF,LAS,20,5
NK,SNA,LAS,6,6
NK,SNA,LAS,14,6
NK,SNA,LAS,15,6
NK,SNA,OAK,11,6
NK,STL,MCO,18,4
NK,STT,FLL,18,6
NK,STT,MCO,13,6
NK,STT,MCO,16,6
NK,STX,FLL,17,6
NK,TPA,ACY,9,5
NK,TPA,ACY,20,6
NK,TPA,ATL,20,6
NK,TPA,BOS,22,5
NK,TPA,BWI,9,2
NK,TPA,BWI,15,2
NK,TPA,CHS,21,4
NK,TPA,CLT,18,6
NK,TPA,CMH,14,4
NK,TPA,DFW,22,6
NK,TPA,DTW,6,6
NK,TPA,DTW,12,6
NK,TPA,FLL,10,6
NK,TPA,FLL,21,5
NK,TPA,IAH,12,3
NK,TPA,IAH,13,2
NK,TPA,IND,9,2
NK,TPA,IND,10,6
NK,TPA,IND,14,4
NK,TPA,LAS,7,5
NK,TPA,MSY,9,4
NK,TPA,ORD,6,6
NK,TPA,ORD,14,5
NK,TPA,ORF,21,3
NK,TPA,PHL,8,4
NK,TPA,PHL,14,2
NK,TPA,PIT,17,4
NK,TPA,RIC,15,4
NK,TPA,SJU,21,2
OH,ABE,CLT,6,5
OH,ABE,CLT,11,6
OH,ABE,CLT,17,6
OH,AGS,DFW,16,5
OH,ALB,DCA,5,5
OH,ALB,DCA,12,5
OH,ALB,DCA,17,3
OH,ATL,CLT,9,5
OH,ATL,CLT,11,4
OH,ATL,CLT,13,5
OH,ATL,CLT,19,3
OH,ATL,DCA,11,5
OH,ATL,DCA,17,5
OH,ATL,PHL,17,6
OH,AVL,CLT,5,4
OH,AVL,CLT,6,5
OH,AVL,CLT,9,6
OH,AVL,CLT,10,6
OH,AVL,CLT,12,6
OH,AVL,CLT,14,5
OH,AVL,CLT,16,5
OH,AVL,CLT,20,3
OH,AVL,DCA,17,3
OH,AVL,DCA,19,2
OH,AVL,DFW,7,6
OH,AVP,CLT,11,5
OH,BDL,DCA,5,5
OH,BDL,DCA,12,5
OH,BDL,DCA,17,5
OH,BDL,PHL,15,5
OH,BGR,DCA,5,5
OH,BGR,DCA,12,6
OH,BGR,DCA,16,5
